iter	Logloss
0	0.634925855
1	0.5754627022
2	0.53011309
3	0.4867061064
4	0.4508207729
5	0.4219775061
6	0.3967917046
7	0.3688566179
8	0.345389174
9	0.3305850535
10	0.3122553512
11	0.2950557632
12	0.2849513935
13	0.2744468059
14	0.2636036568
15	0.2521791481
16	0.2420696314
17	0.2347703721
18	0.2280395159
19	0.2217126669
20	0.2162750769
21	0.2118208649
22	0.2081015123
23	0.2045143117
24	0.2003256432
25	0.1968604091
26	0.19312527
27	0.1900782723
28	0.1883638127
29	0.1857514399
30	0.1836695722
31	0.1820936225
32	0.1803223759
33	0.1782546562
34	0.1767722517
35	0.1752213189
36	0.1734383437
37	0.1719251343
38	0.1704878481
39	0.1696505333
40	0.1688118699
41	0.1673538247
42	0.1664131156
43	0.1657063907
44	0.164867455
45	0.1640895538
46	0.1633141261
47	0.1622376155
48	0.1620121553
49	0.1610144666
50	0.1606015793
51	0.1601519407
52	0.1596106063
53	0.1591317185
54	0.1585376528
55	0.1581643375
56	0.1578084609
57	0.1573151114
58	0.1570072994
59	0.1563463116
60	0.1561496673
61	0.1557183335
62	0.155214101
63	0.1548937282
64	0.1546929778
65	0.1542725169
66	0.1539837735
67	0.1535986538
68	0.1533296579
69	0.1530338994
70	0.1528805847
71	0.1525653276
72	0.1521530173
73	0.1517553882
74	0.1514562761
75	0.1511448378
76	0.1507818129
77	0.1505188711
78	0.1502114081
79	0.1499581453
80	0.149559181
81	0.1494235336
82	0.1489780218
83	0.1488049165
84	0.1485443774
85	0.1483499049
86	0.1481771461
87	0.147860457
88	0.1476346512
89	0.1474387163
90	0.1471737048
91	0.1470229425
92	0.1467952582
93	0.146680588
94	0.1464760109
95	0.1463524295
96	0.1461768313
97	0.1460303948
98	0.1457632268
99	0.1456075715
100	0.1454636837
101	0.1452791154
102	0.144999874
103	0.1448479834
104	0.1446329769
105	0.1445328441
106	0.1444282269
107	0.1441724835
108	0.1440477755
109	0.1439264831
110	0.1436388853
111	0.1435652268
112	0.1434385292
113	0.1432188696
114	0.1430861556
115	0.1430069137
116	0.1428625268
117	0.1427093515
118	0.1425771262
119	0.1423076771
120	0.1420707874
121	0.1418582948
122	0.141655961
123	0.1414610055
124	0.1413107124
125	0.1412371186
126	0.1410774291
127	0.1408511611
128	0.1407342499
129	0.1405614124
130	0.1404190861
131	0.1402876433
132	0.1400437607
133	0.1400018536
134	0.1399145281
135	0.1398489094
136	0.1396934111
137	0.1395444986
138	0.1394532353
139	0.1392861503
140	0.1392094379
141	0.1391700852
142	0.139091075
143	0.1388694958
144	0.1387349869
145	0.1386260787
146	0.1384961399
147	0.1383920464
148	0.138253805
149	0.1381052754
150	0.1379239298
151	0.1378554343
152	0.1377781799
153	0.1377043944
154	0.1376335858
155	0.1375553384
156	0.1374685193
157	0.1373862599
158	0.1372087003
159	0.1370979964
160	0.1369317511
161	0.1368380039
162	0.1367711405
163	0.1367042108
164	0.13666756
165	0.1365974231
166	0.1365523333
167	0.1364145112
