iter	Passed	Remaining
408	5317	7683
409	5329	7669
410	5343	7657
411	5356	7644
412	5369	7632
413	5383	7619
414	5396	7606
415	5408	7592
416	5420	7578
417	5433	7564
418	5445	7550
419	5457	7536
420	5468	7521
421	5480	7506
422	5492	7492
423	5503	7477
424	5516	7463
425	5529	7451
426	5542	7438
427	5555	7424
428	5567	7410
429	5580	7396
430	5592	7383
431	5605	7370
432	5617	7356
433	5630	7342
434	5642	7328
435	5655	7316
436	5667	7301
437	5686	7296
438	5701	7285
439	5717	7276
440	5731	7265
441	5745	7253
442	5758	7240
443	5771	7227
444	5784	7213
445	5796	7199
446	5808	7185
447	5820	7171
448	5832	7157
449	5844	7143
450	5857	7130
451	5870	7116
452	5884	7105
453	5897	7092
454	5910	7079
455	5921	7064
456	5936	7053
457	5948	7039
458	5961	7026
459	5974	7012
460	5986	6999
461	5999	6986
462	6012	6973
463	6024	6959
464	6037	6946
465	6050	6933
466	6064	6922
467	6078	6909
468	6092	6897
469	6104	6883
470	6117	6870
471	6129	6856
472	6141	6842
473	6154	6829
474	6166	6815
475	6179	6802
476	6190	6788
477	6205	6776
478	6217	6762
479	6230	6749
480	6245	6738
481	6258	6726
482	6272	6713
483	6285	6700
484	6297	6687
485	6309	6673
486	6322	6659
487	6333	6645
488	6345	6630
489	6356	6616
490	6368	6602
491	6381	6588
492	6393	6575
493	6405	6561
494	6419	6549
495	6436	6540
496	6448	6526
497	6462	6514
498	6474	6500
499	6486	6486
500	6499	6473
501	6511	6459
502	6523	6446
503	6536	6432
504	6548	6418
505	6560	6404
506	6572	6391
507	6585	6378
508	6597	6364
509	6610	6351
510	6624	6339
511	6638	6326
512	6652	6315
513	6665	6302
514	6678	6289
515	6690	6275
516	6702	6262
517	6716	6249
518	6729	6236
519	6743	6224
520	6756	6211
521	6768	6197
522	6785	6188
523	6799	6176
524	6812	6163
525	6824	6149
526	6837	6136
527	6849	6123
528	6862	6109
529	6874	6096
530	6886	6082
531	6899	6069
532	6912	6056
533	6924	6043
534	6937	6029
535	6949	6015
536	6963	6003
537	6976	5990
538	6990	5978
539	7003	5965
540	7016	5952
541	7028	5939
542	7040	5925
543	7053	5912
544	7066	5899
545	7079	5886
546	7091	5873
547	7103	5859
548	7115	5845
549	7127	5831
550	7140	5818
551	7153	5805
552	7166	5793
553	7180	5780
554	7191	5766
555	7204	5752
556	7216	5739
557	7228	5725
558	7241	5712
559	7254	5700
560	7267	5687
561	7281	5674
562	7293	5661
563	7306	5648
564	7318	5634
565	7331	5621
566	7345	5609
567	7358	5596
568	7371	5583
569	7384	5570
570	7396	5557
571	7409	5544
572	7422	5531
573	7435	5518
574	7447	5504
575	7460	5491
576	7473	5478
577	7485	5464
578	7497	5451
579	7511	5439
580	7524	5426
581	7538	5413
582	7550	5400
583	7563	5387
584	7576	5374
585	7590	5362
586	7604	5350
587	7616	5337
588	7629	5323
589	7641	5310
590	7655	5297
591	7668	5284
592	7678	5270
593	7692	5258
594	7704	5244
595	7717	5231
596	7730	5218
597	7743	5205
598	7757	5193
599	7770	5180
600	7783	5167
601	7797	5154
602	7809	5141
603	7822	5128
604	7834	5115
605	7847	5102
606	7860	5089
607	7874	5077
608	7891	5066
609	7904	5053
610	7917	5040
611	7929	5027
612	7942	5014
613	7955	5001
614	7967	4987
615	7979	4973
616	7991	4960
617	8004	4947
618	8015	4933
619	8028	4920
620	8039	4906
621	8055	4895
622	8068	4882
623	8080	4869
624	8093	4856
625	8105	4842
626	8118	4829
627	8130	4815
628	8142	4802
629	8154	4789
630	8166	4775
631	8178	4762
632	8191	4749
633	8203	4735
634	8215	4722
635	8229	4709
636	8242	4697
637	8256	4684
638	8269	4672
639	8281	4658
640	8293	4644
641	8305	4631
642	8317	4618
643	8329	4604
644	8341	4590
645	8353	4577
646	8365	4564
647	8377	4550
648	8389	4537
649	8402	4524
650	8416	4511
651	8429	4499
652	8442	4486
653	8455	4473
654	8467	4459
655	8479	4446
656	8492	4433
657	8504	4420
658	8517	4407
659	8529	4394
660	8541	4380
661	8553	4367
662	8567	4354
663	8581	4342
664	8596	4330
665	8609	4317
666	8622	4304
667	8635	4291
668	8647	4278
669	8658	4264
670	8669	4250
671	8680	4236
672	8692	4223
